Timestamp, Poten, Left_arr, Right_arr, Down_arr, Up_arr, A_butt, B_butt, X_butt, Y_butt, DL_butt, DR_butt, R_shift, L_shift
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
1733477996, 32500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
1733477996, 32500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1733477996, 32427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1733477996, 32476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1733477996, 32403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1733477996, 32451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
